study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	0.0	hr		0.0				set to zero; SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	0.167	hr		1.8132661329144332e-05	31.8163720738559	5.968214198106675e-05	9.811683701901912e-06	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	0.33	hr		0.00018546328916740557	138.988924012638	0.00015446848429926508	2.5394462389392554e-05	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	0.5	hr		0.00039960709534599744	251.426036277557	0.0002153174320196076	3.539796777321369e-05	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	0.75	hr		0.0004943797974607177	266.731952430342	0.00015797913166970187	2.597160926187863e-05	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	1.0	hr		0.00044990023059893907	231.798556302871	0.00011702044233097075	1.9238042213236556e-05	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	1.5	hr		0.0003012589548943144	163.846107370229	9.946720547878193e-05	1.635230785080563e-05	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	2.0	hr		0.00020761668464292705	116.467388231211	7.723310546600901e-05	1.269704432505974e-05	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	3.0	hr		0.00013150605425488673	28.8879240831262	6.085349445483586e-05	1.000425286236719e-05	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	4.0	hr		9.7519782261231e-05	22.1684349464862	4.3301394286270074e-05	7.118705369572778e-06	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	6.0	hr		4.9443180073646594e-05	11.6025983140077	2.106615758987363e-05	3.463254974190299e-06	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	8.0	hr		3.5301699116671685e-05	7.25733177070885	1.7552100168565914e-05	2.8855474927944378e-06	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	12.0	hr		2.106360005171963e-05	4.7855097363182	9.359452953921047e-06	1.538684587356754e-06	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	16.0	hr		1.6188363991558386e-05	3.74863186497743	7.020158057252546e-06	1.1541068753358625e-06	SD incorrect reported as SE	mole/meter^3	ng/ml
Cho2021		all	37.0	RC10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_RC10	24.0	hr		1.1116481664573281e-05	1.19594172228864	8.191510531021687e-06	1.3466760358011364e-06	SD incorrect reported as SE	mole/meter^3	ng/ml
