study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	0.0	hr		2.4746100393511435e-06					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	0.0803456208270212	hr		1.7484652265100998e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	0.148347640688994	hr		0.0001275727800323526					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	0.228019974190649	hr		0.0001726074808501557					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	0.372103461818996	hr		0.00034774674849657723					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	0.629074791000391	hr		0.0003827686556431436					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	0.899511866689108	hr		0.00034272891630957535					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	1.44285473825955	hr		0.00024888813578775073					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	1.89238624249565	hr		0.00018882738325226123					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	3.0	hr		0.00012499753890082813					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	4.0	hr		8.49372159347707e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	5.0	hr		6.614893361197072e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	6.0	hr		4.610504970728197e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	8.0	hr		2.9789090353556487e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	12.0	hr		1.7173610707474618e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	16.0	hr		1.5194151383021404e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	24.0	hr		1.0606288408032057e-05					mole/meter^3	ng/ml
Hwang2022a		C1236T_CT	58.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_C1236T_CT	48.0	hr		3.7256374806867175e-06					mole/meter^3	ng/ml
