study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	0.5	hr		0.0002295166332175945					mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	1.0	hr		0.0002872213783530314					mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	1.5	hr		0.00020632313629741924					mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	2.0	hr		0.00016394956492321068					mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	3.0	hr		0.0001107275582603515	59.923531870182	8.776583664605109e-05	3.583025277188102e-05		mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	4.0	hr		7.909550932016031e-05	40.4708995075975	4.871074980787886e-05	1.9886080336279484e-05		mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	6.0	hr		4.46452442790243e-05	24.4335748616611	3.701939158675896e-05	1.511310332930666e-05		mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	8.0	hr		3.0152314763803433e-05	15.6020554903413	1.961151864528808e-05	8.006368960339033e-06		mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	12.0	hr		1.8616801738183935e-05	8.90584894556565	7.751786275513567e-06	3.16465349501965e-06		mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	16.0	hr		1.050820291112957e-05					mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	24.0	hr		6.598087349727618e-06					mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	36.0	hr		4.7131815030051385e-06	2.53641772358421	3.6503645180995993e-06	1.4902550740841047e-06		mole/meter^3	ng/ml
Kasichayanula2011		healthy	6.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10_healthy	48.0	hr		3.385675520447352e-06					mole/meter^3	ng/ml
