study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	mean_sd	mean_se	comments	mean_unit	value_unit
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	0.365385589143748	hr		3.119883946734659e-06	1.62724799271985	8.599532954404181e-07	3.510744627423161e-07	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	0.454301483619417	hr		4.229577915565984e-06	2.25124575798652	1.276400121591081e-06	5.210881675874246e-07	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	0.528229277431769	hr		2.5729894111806847e-05	12.8864163392999	5.787022728629918e-06	2.3625421358386836e-06	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	1.52919135146083	hr		7.389035935035378e-05	37.0068345369599	1.661900306037009e-05	6.78467958860979e-06	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	1.94632639627322	hr		5.2870489256263684e-05	26.7493217937444	1.2551589955971905e-05	5.124165142128926e-06	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	2.45501038027241	hr		3.9396716326477424e-05	18.9466764874671	6.942064878119368e-06	2.834086118781456e-06	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	4.39252620385842	hr		2.0583617332850227e-05	10.1019516682417	4.123202800153667e-06	1.6832904943985469e-06	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	6.41885665096968	hr		1.4728117830520406e-05	7.15526216425292	2.771844662118922e-06	1.1316008447414357e-06	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	8.44437693047749	hr		1.1429180497299138e-05	5.84143870292025	2.8575019271217716e-06	1.1665702767446567e-06	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	10.3321687174034	hr		8.691052235650167e-06	4.48727182823289	2.2836803297989845e-06	9.323085906063865e-07	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	12.3554610360018	hr		8.430561505115281e-06	4.3971553176067	2.323768855673278e-06	9.48674662761782e-07	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	14.3815889412122	hr		6.155915141110272e-06	3.11452678726693	1.461430066978622e-06	5.966263264765124e-07	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	18.2473036609448	hr		4.272699168011021e-06	2.16173155536764	1.0143497576153721e-06	4.141065544789092e-07	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	22.1556534508076	hr		4.14463659314056e-06	2.16173155536764	1.1424123324858332e-06	4.6638788174217675e-07	Day 14	mole/meter^3	ng/ml
Komoroski2009		MAD_DAP2.5	6.0	DAPM2.5	concentration	dapagliflozin	plasma	LC/MS	dapagliflozin_DAPM2.5	24.0	hr		3.0883972218386887e-06	1.56254523602847	7.331934335199928e-07	2.9932496581386644e-07	Day 14	mole/meter^3	ng/ml
