study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Gould2013	NA	DAP0	22.0	DAP0	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP0.001	5.0	DAP0.001	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.001	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP0.01	5.0	DAP0.01	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.01	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP0.1	5.0	DAP0.1	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.1	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP0.3	6.0	DAP0.3	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP0.3	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP1	6.0	DAP1	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP1	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP2.5	6.0	DAP2.5	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP2.5	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP5	6.0	DAP5	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP5	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP10	6.0	DAP10	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP10	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP20	6.0	DAP20	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP20	0.0	hr	NA	0.0	NA	NA	NA	g	NA
Gould2013	NA	DAP50	6.0	DAP50	cumulative amount	glucose	urine	LC MS/MS	glucose_cumulative amount_DAP50	0.0	hr	NA	0.0	NA	NA	NA	g	NA
