study	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	min	max	sd	se	cv	unit	comments
Kasichayanula2013	healthy	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_healthy	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	healthy	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_healthy	60.0	hr	1.2	NA	NA	0.5	NA	NA	percent	NA
Kasichayanula2013	normal	12.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	normal	12.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_normal	60.0	hr	1.0	NA	NA	0.4	NA	NA	percent	NA
Kasichayanula2013	mild	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_mild	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	mild	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_mild	60.0	hr	1.4	NA	NA	1.0	NA	NA	percent	NA
Kasichayanula2013	moderate	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_moderate	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	moderate	8.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_moderate	60.0	hr	1.6	NA	NA	1.3	NA	NA	percent	NA
Kasichayanula2013	severe	4.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_severe	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	severe	4.0	DAP50	recovery	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_recovery_DAP50_severe	60.0	hr	0.5	NA	NA	0.2	NA	NA	percent	NA
Kasichayanula2013	healthy	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_healthy	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	healthy	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_healthy	60.0	hr	63.1	NA	NA	24.7	NA	NA	percent	NA
Kasichayanula2013	normal	12.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	normal	12.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_normal	60.0	hr	51.5	NA	NA	30.5	NA	NA	percent	NA
Kasichayanula2013	mild	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_mild	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	mild	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_mild	60.0	hr	64.3	NA	NA	24.8	NA	NA	percent	NA
Kasichayanula2013	moderate	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_moderate	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	moderate	8.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_moderate	60.0	hr	62.6	NA	NA	25.2	NA	NA	percent	NA
Kasichayanula2013	severe	4.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_severe	0.0	hr	0.0	NA	NA	0.0	NA	NA	percent	NA
Kasichayanula2013	severe	4.0	DAP50	recovery	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_recovery_DAP50_severe	60.0	hr	18.5	NA	NA	7.8	NA	NA	percent	NA
Kasichayanula2013	healthy	8.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_healthy	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	healthy	8.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_healthy	60.0	hr	0.6	NA	NA	0.25	NA	NA	mg	NA
Kasichayanula2013	normal	12.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	normal	12.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_normal	60.0	hr	0.5	NA	NA	0.2	NA	NA	mg	NA
Kasichayanula2013	mild	8.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_mild	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	mild	8.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_mild	60.0	hr	0.7	NA	NA	0.5	NA	NA	mg	NA
Kasichayanula2013	moderate	8.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_moderate	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	moderate	8.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_moderate	60.0	hr	0.8	NA	NA	0.65	NA	NA	mg	NA
Kasichayanula2013	severe	4.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_severe	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	severe	4.0	DAP50	cumulative amount	dapagliflozin	urine	HPLC MS/MS	dapagliflozin_cumulative amount_DAP50_severe	60.0	hr	0.25	NA	NA	0.1	NA	NA	mg	NA
Kasichayanula2013	healthy	8.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_healthy	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	healthy	8.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_healthy	60.0	hr	31.55	NA	NA	12.35	NA	NA	mg	NA
Kasichayanula2013	normal	12.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_normal	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	normal	12.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_normal	60.0	hr	25.75	NA	NA	15.25	NA	NA	mg	NA
Kasichayanula2013	mild	8.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_mild	0.0	hr	0.0	NA	NA	0.0	NA	NA	mg	NA
Kasichayanula2013	mild	8.0	DAP50	cumulative amount	dapagliflozin 3-o-glucuronide	urine	HPLC MS/MS	dapagliflozin 3-o-glucuronide_cumulative amount_DAP50_mild	60.0	hr	32.15	NA	NA	12.4	NA	NA	mg	NA
