study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	value	mean	mean_pm	sd	se	unit	comments
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	0.0	hr	NA	4.28133239871939	7.59246459003979	3.3111321913204	1.04707193584769	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	0.5	hr	NA	22.5978429280996	46.245743955412	23.6479010273124	7.47812291285429	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	1.0	hr	NA	45.2378954289838	70.2894187772344	25.0515233482506	7.92198726373594	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	2.0	hr	NA	58.9297947176134	83.8387850444139	24.9089903268005	7.87691436477915	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	3.0	hr	NA	43.2876128108305	62.9568604248346	19.6692476140041	6.21996223220854	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	4.0	hr	NA	31.1044815210356	47.2760461933269	16.1715646722913	5.1138977693155	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	6.0	hr	NA	16.7834169075321	26.0776194016005	9.2942024940684	2.93908489160737	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	8.0	hr	NA	11.5398710773291	18.3298071083243	6.7899360309952	2.14716630247885	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	12.0	hr	NA	6.80042233654734	10.5663123569931	3.76589002044576	1.19087898823067	ng/ml	NA
Watada2019	NA	DAP5	10.0	DAP5	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP5	24.0	hr	NA	4.99533471082328	8.85866790410081	3.86333319327753	1.22169322508885	ng/ml	NA
Watada2019	NA	DAP10	10.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10	0.0	hr	NA	6.50724456261907	9.67488770692451	3.16764314430544	1.00169671506226	ng/ml	NA
Watada2019	NA	DAP10	10.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10	0.5	hr	NA	33.9703857460129	76.7657441295356	42.7953583835227	13.5330805775113	ng/ml	NA
Watada2019	NA	DAP10	10.0	DAP10	concentration	dapagliflozin	plasma	LC MS/MS	dapagliflozin_DAP10	1.0	hr	NA	95.6888299076271	151.991108295293	56.3022783876659	17.8043437161897	ng/ml	NA
